trade_id,displacement_after_reclaim_ticks,delta_acceleration_status,time_to_peak_mfe_seconds,time_to_max_mae_seconds,post_entry_velocity,structure_break_success,follow_through_classification,mfe_mae_ratio,favorable_ticks,adverse_ticks,net_movement
69,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,2.00,3.75,-1.75
70,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,2.00,3.75,-1.75
71,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,2.00,3.75,-1.75
72,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,2.00,3.75,-1.75
73,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,1.75,4.00,-2.25
74,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,1.25,4.25,-3.00
75,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,1.25,4.25,-3.00
76,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,1.00,4.25,-3.25
77,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,0.25,4.25,-4.00
78,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,0.50,4.25,-3.75
79,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,0.50,4.25,-3.75
80,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,0.75,4.00,-3.25
81,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,0.75,4.00,-3.25
82,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,1.25,3.75,-2.50
83,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,1.25,3.75,-2.50
84,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,1.00,3.75,-2.75
85,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.50,3.50,-2.00
86,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.50,3.50,-2.00
87,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,2.00,3.50,-1.50
88,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.75,3.50,-1.75
89,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.25,3.50,-2.25
90,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.25,3.50,-2.25
91,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,0.75,3.75,-3.00
92,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,0.50,3.75,-3.25
93,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,0.50,3.75,-3.25
94,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,0.50,4.00,-3.50
95,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,0.25,4.25,-4.00
96,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,0.50,4.25,-3.75
97,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,0.75,4.25,-3.50
98,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,0.75,4.00,-3.25
99,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,0.75,4.00,-3.25
100,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,0.75,4.00,-3.25
101,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,1.00,3.75,-2.75
102,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,1.00,3.75,-2.75
103,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,0.50,3.50,-3.00
104,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,0.50,3.50,-3.00
105,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,0.75,3.50,-2.75
106,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,0.75,3.75,-3.00
107,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,0.75,3.75,-3.00
108,1.25,ACCELERATING,1036,763,0.16,NO,WEAK,1.357,1.00,3.50,-2.50
109,0.00,CONSTANT,754,1045,0.11,NO,NONE,0.722,2.25,4.50,-2.25
110,0.00,CONSTANT,812,987,0.12,NO,NONE,0.824,2.75,4.25,-1.50
111,0.00,CONSTANT,870,929,0.12,NO,NONE,0.938,3.00,4.00,-1.00
112,0.25,CONSTANT,929,870,0.13,NO,NONE,1.067,3.25,3.75,-0.50
113,0.00,CONSTANT,812,987,0.12,NO,NONE,0.824,2.50,4.25,-1.75
114,0.00,CONSTANT,754,1045,0.11,NO,NONE,0.722,2.75,4.50,-1.75
115,0.00,CONSTANT,754,1045,0.11,NO,NONE,0.722,2.75,4.50,-1.75
116,0.00,CONSTANT,812,987,0.12,NO,NONE,0.824,3.00,4.25,-1.25
117,0.00,CONSTANT,870,929,0.12,NO,NONE,0.938,3.25,4.00,-0.75
118,0.25,CONSTANT,929,870,0.13,NO,NONE,1.067,3.50,3.75,-0.25
119,0.00,CONSTANT,812,987,0.12,NO,NONE,0.824,2.00,4.25,-2.25
120,0.00,CONSTANT,812,987,0.12,NO,NONE,0.824,2.00,4.25,-2.25
121,0.00,CONSTANT,870,929,0.12,NO,NONE,0.938,2.25,4.00,-1.75
122,0.00,CONSTANT,870,929,0.12,NO,NONE,0.938,2.25,4.00,-1.75
123,0.00,CONSTANT,870,929,0.12,NO,NONE,0.938,2.75,4.00,-1.25
124,0.00,CONSTANT,870,929,0.12,NO,NONE,0.938,2.50,4.00,-1.50
125,0.00,CONSTANT,812,987,0.12,NO,NONE,0.824,2.25,4.25,-2.00
126,0.00,CONSTANT,870,929,0.12,NO,NONE,0.938,2.75,4.00,-1.25
127,0.25,CONSTANT,929,870,0.13,NO,NONE,1.067,3.00,3.75,-0.75
128,0.25,CONSTANT,929,870,0.13,NO,NONE,1.067,3.00,3.75,-0.75
129,0.00,CONSTANT,870,929,0.12,NO,NONE,0.938,2.75,4.00,-1.25
130,0.00,CONSTANT,754,1045,0.11,NO,NONE,0.722,2.50,4.50,-2.00
131,0.00,CONSTANT,812,987,0.12,NO,NONE,0.824,2.75,4.25,-1.50
132,0.00,CONSTANT,754,1045,0.11,NO,NONE,0.722,2.75,4.50,-1.75
133,0.00,CONSTANT,754,1045,0.11,NO,NONE,0.722,2.75,4.50,-1.75
134,0.00,CONSTANT,812,987,0.12,NO,NONE,0.824,3.00,4.25,-1.25
135,0.00,CONSTANT,870,929,0.12,NO,NONE,0.938,3.25,4.00,-0.75
136,0.00,CONSTANT,870,929,0.12,NO,NONE,0.938,3.25,4.00,-0.75
137,0.25,CONSTANT,929,870,0.13,NO,NONE,1.067,3.50,3.75,-0.25
138,0.25,CONSTANT,929,870,0.13,NO,NONE,1.067,3.50,3.75,-0.25
139,0.50,CONSTANT,956,843,0.14,YES,WEAK,1.133,4.00,3.75,0.25
140,0.00,CONSTANT,787,1012,0.12,NO,NONE,0.778,3.50,4.50,-1.00
141,0.00,CONSTANT,818,981,0.12,NO,NONE,0.833,2.00,4.50,-2.50
142,0.00,CONSTANT,818,981,0.12,NO,NONE,0.833,1.50,4.50,-3.00
143,0.00,CONSTANT,818,981,0.12,NO,NONE,0.833,1.25,4.50,-3.25
144,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,1.25,4.25,-3.00
145,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,1.75,3.75,-2.00
146,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,2.00,4.25,-2.25
147,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,2.25,4.00,-1.75
148,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,0.75,4.25,-3.50
149,0.00,CONSTANT,818,981,0.12,NO,NONE,0.833,0.25,4.50,-4.25
150,0.00,CONSTANT,763,1036,0.12,NO,NONE,0.737,0.25,4.75,-4.50
151,0.00,CONSTANT,818,981,0.12,NO,NONE,0.833,0.25,4.50,-4.25
152,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,0.50,4.25,-3.75
153,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,0.75,4.00,-3.25
154,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,1.00,3.75,-2.75
155,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,-0.25,4.25,-4.50
156,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,0.00,4.00,-4.00
157,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,0.25,3.75,-3.50
158,0.75,CONSTANT,981,818,0.15,NO,WEAK,1.200,0.00,3.75,-3.75
159,0.00,CONSTANT,818,981,0.12,NO,NONE,0.833,0.00,4.50,-4.50
160,0.00,CONSTANT,818,981,0.12,NO,NONE,0.833,-0.50,4.50,-5.00
161,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,-0.25,4.25,-4.50
162,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,0.00,4.00,-4.00
163,0.00,CONSTANT,818,981,0.12,NO,NONE,0.833,-0.50,4.50,-5.00
164,0.00,CONSTANT,818,981,0.12,NO,NONE,0.833,-0.75,4.50,-5.25
165,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,-0.50,4.25,-4.75
166,0.25,CONSTANT,927,872,0.14,NO,NONE,1.062,-0.25,4.00,-4.25
167,0.00,CONSTANT,818,981,0.12,NO,NONE,0.833,-1.25,4.50,-5.75
168,0.00,CONSTANT,818,981,0.12,NO,NONE,0.833,-0.75,4.50,-5.25
169,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,-0.25,4.25,-4.50
170,0.00,CONSTANT,872,927,0.13,NO,NONE,0.941,-0.25,4.25,-4.50
