alert_id,symbol,ts_entry,entry_price,direction,stop_price,target_price,risk,reward,rr_ratio,hold_minutes,logic_type,status
13,NQM6.CME@RITHMIC,2026-05-05T00:00:38.655Z,27744.28,LONG,27743.25,27745.68,1.03,1.4,1.37,8,Phase1_Absorption,WIN
14,NQM6.CME@RITHMIC,2026-05-05T00:00:39.425Z,27744.28,LONG,27743.25,27745.68,1.03,1.4,1.37,19,Phase1_Absorption,TIMEOUT
15,NQM6.CME@RITHMIC,2026-05-05T00:00:45.351Z,27743.7,LONG,27742.75,27744.9,0.95,1.2,1.26,28,Phase1_Absorption,WIN
16,ESM6.CME@RITHMIC,2026-05-05T00:00:52.167Z,7227.15,LONG,7226.5,7227.55,0.65,0.4,0.62,26,Phase1_Absorption,WIN
17,NQM6.CME@RITHMIC,2026-05-05T00:00:52.173Z,27741.78,LONG,27740.75,27743.18,1.03,1.4,1.37,8,Phase1_Absorption,TIMEOUT
18,NQM6.CME@RITHMIC,2026-05-05T00:00:52.179Z,27741.15,LONG,27740.5,27741.55,0.65,0.4,0.62,6,Phase1_Absorption,WIN
19,NQM6.CME@RITHMIC,2026-05-05T00:00:52.183Z,27742.12,SHORT,27743.0,27741.12,0.88,1.0,1.14,28,Phase1_Absorption,LOSS
20,NQM6.CME@RITHMIC,2026-05-05T00:00:54.673Z,27743.12,SHORT,27744.0,27742.12,0.88,1.0,1.14,25,Phase1_Absorption,LOSS
21,NQM6.CME@RITHMIC,2026-05-05T00:00:58.815Z,27745.62,SHORT,27746.5,27744.62,0.88,1.0,1.14,9,Phase1_Absorption,LOSS
22,NQM6.CME@RITHMIC,2026-05-05T00:01:00.452Z,27747.42,SHORT,27748.75,27745.22,1.33,2.2,1.66,7,Phase1_Absorption,TIMEOUT
23,NQM6.CME@RITHMIC,2026-05-05T00:01:00.453Z,27748.22,SHORT,27749.25,27746.82,1.03,1.4,1.37,23,Phase1_Absorption,LOSS
24,NQM6.CME@RITHMIC,2026-05-05T00:01:02.072Z,27748.33,SHORT,27749.5,27746.53,1.17,1.8,1.53,26,Phase1_Absorption,WIN
25,NQM6.CME@RITHMIC,2026-05-05T00:01:08.883Z,27747.53,SHORT,27749.0,27744.93,1.47,2.6,1.76,28,Phase1_Absorption,LOSS
26,NQM6.CME@RITHMIC,2026-05-05T00:01:09.991Z,27748.97,SHORT,27750.0,27747.57,1.03,1.4,1.37,6,Phase1_Absorption,WIN
27,ESM6.CME@RITHMIC,2026-05-05T00:01:10.012Z,7227.85,SHORT,7228.5,7227.45,0.65,0.4,0.62,27,Phase1_Absorption,LOSS
28,ESM6.CME@RITHMIC,2026-05-05T00:01:10.022Z,7227.85,SHORT,7228.5,7227.45,0.65,0.4,0.62,28,Phase1_Absorption,WIN
29,NQM6.CME@RITHMIC,2026-05-05T00:01:11.087Z,27750.42,SHORT,27751.75,27748.22,1.33,2.2,1.66,28,Phase1_Absorption,TIMEOUT
30,NQM6.CME@RITHMIC,2026-05-05T00:01:12.359Z,27751.97,SHORT,27753.0,27750.57,1.03,1.4,1.37,19,Phase1_Absorption,TIMEOUT
31,NQM6.CME@RITHMIC,2026-05-05T00:01:13.223Z,27753.12,SHORT,27754.0,27752.12,0.88,1.0,1.14,24,Phase1_Absorption,LOSS
32,NQM6.CME@RITHMIC,2026-05-05T00:01:24.021Z,27751.25,LONG,27750.0,27753.25,1.25,2.0,1.6,5,Phase1_Absorption,WIN
33,NQM6.CME@RITHMIC,2026-05-05T00:01:24.021Z,27750.8,LONG,27750.0,27751.6,0.8,0.8,1.0,25,Phase1_Absorption,WIN
34,NQM6.CME@RITHMIC,2026-05-05T00:01:37.643Z,27749.42,LONG,27748.25,27751.22,1.17,1.8,1.53,29,Phase1_Absorption,LOSS
35,NQM6.CME@RITHMIC,2026-05-05T00:01:37.643Z,27749.17,LONG,27748.0,27750.97,1.17,1.8,1.53,9,Phase1_Absorption,TIMEOUT
36,NQM6.CME@RITHMIC,2026-05-05T00:01:42.891Z,27749.15,LONG,27747.75,27751.55,1.4,2.4,1.71,11,Phase1_Absorption,WIN
37,ESM6.CME@RITHMIC,2026-05-05T00:01:45.710Z,7228.6,SHORT,7229.25,7228.2,0.65,0.4,0.62,10,Phase1_Absorption,WIN
38,ESM6.CME@RITHMIC,2026-05-05T00:01:46.244Z,7228.77,SHORT,7229.5,7228.17,0.73,0.6,0.83,21,Phase1_Absorption,TIMEOUT
39,NQM6.CME@RITHMIC,2026-05-05T00:01:46.441Z,27754.65,SHORT,27756.5,27751.05,1.85,3.6,1.95,13,Phase1_Absorption,WIN
40,NQM6.CME@RITHMIC,2026-05-05T00:01:46.588Z,27755.88,SHORT,27756.75,27754.88,0.88,1.0,1.14,22,Phase1_Absorption,WIN
41,NQM6.CME@RITHMIC,2026-05-05T00:01:47.281Z,27756.12,SHORT,27757.0,27755.12,0.88,1.0,1.14,30,Phase1_Absorption,WIN
42,NQM6.CME@RITHMIC,2026-05-05T00:01:47.896Z,27756.65,SHORT,27757.75,27755.05,1.1,1.6,1.45,23,Phase1_Absorption,LOSS
43,NQM6.CME@RITHMIC,2026-05-05T00:01:48.021Z,27757.92,SHORT,27759.25,27755.72,1.33,2.2,1.66,6,Phase1_Absorption,WIN
44,NQM6.CME@RITHMIC,2026-05-05T00:01:48.150Z,27759.1,SHORT,27760.5,27756.7,1.4,2.4,1.71,6,Phase1_Absorption,WIN
45,ESM6.CME@RITHMIC,2026-05-05T00:01:48.181Z,7229.85,SHORT,7230.5,7229.45,0.65,0.4,0.62,13,Phase1_Absorption,LOSS
46,NQM6.CME@RITHMIC,2026-05-05T00:01:48.190Z,27760.92,SHORT,27762.25,27758.72,1.33,2.2,1.66,5,Phase1_Absorption,WIN
47,NQM6.CME@RITHMIC,2026-05-05T00:01:58.773Z,27761.28,LONG,27760.25,27762.68,1.03,1.4,1.37,21,Phase1_Absorption,TIMEOUT
48,NQM6.CME@RITHMIC,2026-05-05T00:01:59.397Z,27763.78,SHORT,27764.5,27763.18,0.72,0.6,0.83,21,Phase1_Absorption,WIN
49,NQM6.CME@RITHMIC,2026-05-05T00:02:00.885Z,27765.47,SHORT,27766.5,27764.07,1.03,1.4,1.37,13,Phase1_Absorption,WIN
50,NQM6.CME@RITHMIC,2026-05-05T00:02:00.888Z,27766.78,SHORT,27767.5,27766.18,0.72,0.6,0.83,25,Phase1_Absorption,WIN
51,NQM6.CME@RITHMIC,2026-05-05T00:02:01.498Z,27766.45,SHORT,27768.0,27763.65,1.55,2.8,1.81,30,Phase1_Absorption,WIN
52,NQM6.CME@RITHMIC,2026-05-05T00:02:02.427Z,27765.3,SHORT,27766.25,27764.1,0.95,1.2,1.26,23,Phase1_Absorption,LOSS
53,NQM6.CME@RITHMIC,2026-05-05T00:02:02.429Z,27765.95,SHORT,27766.75,27765.15,0.8,0.8,1.0,15,Phase1_Absorption,LOSS
54,NQM6.CME@RITHMIC,2026-05-05T00:02:02.430Z,27766.53,SHORT,27767.25,27765.93,0.72,0.6,0.83,28,Phase1_Absorption,LOSS
55,NQM6.CME@RITHMIC,2026-05-05T00:02:02.430Z,27766.95,SHORT,27767.75,27766.15,0.8,0.8,1.0,6,Phase1_Absorption,TIMEOUT
56,NQM6.CME@RITHMIC,2026-05-05T00:02:02.431Z,27767.53,SHORT,27768.25,27766.93,0.72,0.6,0.83,15,Phase1_Absorption,TIMEOUT
57,NQM6.CME@RITHMIC,2026-05-05T00:02:02.432Z,27768.2,SHORT,27769.0,27767.4,0.8,0.8,1.0,23,Phase1_Absorption,WIN
58,NQM6.CME@RITHMIC,2026-05-05T00:02:02.432Z,27768.8,SHORT,27769.75,27767.6,0.95,1.2,1.26,28,Phase1_Absorption,TIMEOUT
59,NQM6.CME@RITHMIC,2026-05-05T00:02:02.434Z,27769.95,SHORT,27770.75,27769.15,0.8,0.8,1.0,26,Phase1_Absorption,TIMEOUT
60,NQM6.CME@RITHMIC,2026-05-05T00:02:03.341Z,27769.35,SHORT,27770.75,27766.95,1.4,2.4,1.71,15,Phase1_Absorption,TIMEOUT
61,NQM6.CME@RITHMIC,2026-05-05T00:02:03.748Z,27770.5,SHORT,27771.75,27768.5,1.25,2.0,1.6,12,Phase1_Absorption,WIN
62,NQM6.CME@RITHMIC,2026-05-05T00:02:04.131Z,27770.9,SHORT,27772.0,27769.3,1.1,1.6,1.45,28,Phase1_Absorption,WIN
63,NQM6.CME@RITHMIC,2026-05-05T00:02:04.942Z,27771.55,SHORT,27772.5,27770.35,0.95,1.2,1.26,19,Phase1_Absorption,TIMEOUT
64,NQM6.CME@RITHMIC,2026-05-05T00:02:07.167Z,27771.62,SHORT,27772.5,27770.62,0.88,1.0,1.14,16,Phase1_Absorption,WIN
65,NQM6.CME@RITHMIC,2026-05-05T00:02:07.475Z,27771.72,SHORT,27772.75,27770.32,1.03,1.4,1.37,30,Phase1_Absorption,WIN
66,ESM6.CME@RITHMIC,2026-05-05T00:02:08.996Z,7231.35,SHORT,7232.0,7230.95,0.65,0.4,0.62,6,Phase1_Absorption,WIN
67,NQM6.CME@RITHMIC,2026-05-05T00:02:09.509Z,27773.0,SHORT,27774.25,27771.0,1.25,2.0,1.6,6,Phase1_Absorption,LOSS
68,NQM6.CME@RITHMIC,2026-05-05T00:02:10.940Z,27774.7,SHORT,27775.5,27773.9,0.8,0.8,1.0,29,Phase1_Absorption,LOSS
69,NQM6.CME@RITHMIC,2026-05-05T00:02:10.941Z,27775.45,SHORT,27776.25,27774.65,0.8,0.8,1.0,26,Phase1_Absorption,TIMEOUT
70,ESM6.CME@RITHMIC,2026-05-05T00:02:13.012Z,7232.1,SHORT,7232.75,7231.7,0.65,0.4,0.62,27,Phase1_Absorption,WIN
71,NQM6.CME@RITHMIC,2026-05-05T00:02:13.350Z,27778.2,SHORT,27779.0,27777.4,0.8,0.8,1.0,7,Phase1_Absorption,TIMEOUT
72,ESM6.CME@RITHMIC,2026-05-05T00:02:14.588Z,7232.15,LONG,7231.5,7232.55,0.65,0.4,0.62,28,Phase1_Absorption,WIN
73,NQM6.CME@RITHMIC,2026-05-05T00:02:16.417Z,27774.6,LONG,27773.5,27776.2,1.1,1.6,1.45,11,Phase1_Absorption,WIN
74,ESM6.CME@RITHMIC,2026-05-05T00:02:22.112Z,7232.35,SHORT,7233.0,7231.95,0.65,0.4,0.62,30,Phase1_Absorption,LOSS
75,NQM6.CME@RITHMIC,2026-05-05T00:02:23.348Z,27776.88,LONG,27776.0,27777.88,0.88,1.0,1.14,13,Phase1_Absorption,LOSS
76,NQM6.CME@RITHMIC,2026-05-05T00:02:25.494Z,27776.2,LONG,27775.25,27777.4,0.95,1.2,1.26,26,Phase1_Absorption,LOSS
77,NQM6.CME@RITHMIC,2026-05-05T00:02:26.721Z,27776.12,LONG,27775.25,27777.12,0.88,1.0,1.14,8,Phase1_Absorption,WIN
78,NQM6.CME@RITHMIC,2026-05-05T00:02:28.768Z,27774.95,LONG,27774.0,27776.15,0.95,1.2,1.26,16,Phase1_Absorption,LOSS
79,NQM6.CME@RITHMIC,2026-05-05T00:02:32.672Z,27774.1,LONG,27773.0,27775.7,1.1,1.6,1.45,18,Phase1_Absorption,WIN
80,ESM6.CME@RITHMIC,2026-05-05T00:02:45.931Z,7232.6,SHORT,7233.25,7232.2,0.65,0.4,0.62,13,Phase1_Absorption,LOSS
81,NQM6.CME@RITHMIC,2026-05-05T00:02:49.270Z,27779.17,SHORT,27780.5,27776.97,1.33,2.2,1.66,27,Phase1_Absorption,TIMEOUT
82,NQM6.CME@RITHMIC,2026-05-05T00:02:49.481Z,27780.7,SHORT,27781.5,27779.9,0.8,0.8,1.0,12,Phase1_Absorption,WIN
83,NQM6.CME@RITHMIC,2026-05-05T00:02:49.492Z,27781.28,SHORT,27782.0,27780.68,0.72,0.6,0.83,18,Phase1_Absorption,TIMEOUT
84,NQM6.CME@RITHMIC,2026-05-05T00:02:49.546Z,27782.3,LONG,27781.5,27783.1,0.8,0.8,1.0,13,Phase1_Absorption,WIN
85,NQM6.CME@RITHMIC,2026-05-05T00:02:50.165Z,27783.58,SHORT,27784.75,27781.78,1.17,1.8,1.53,18,Phase1_Absorption,TIMEOUT
86,NQM6.CME@RITHMIC,2026-05-05T00:02:54.206Z,27780.3,LONG,27778.75,27783.1,1.55,2.8,1.81,7,Phase1_Absorption,WIN
87,NQM6.CME@RITHMIC,2026-05-05T00:02:54.217Z,27779.8,LONG,27778.25,27782.6,1.55,2.8,1.81,27,Phase1_Absorption,LOSS
88,ESM6.CME@RITHMIC,2026-05-05T00:03:00.206Z,7233.85,SHORT,7234.5,7233.45,0.65,0.4,0.62,25,Phase1_Absorption,WIN
89,ESM6.CME@RITHMIC,2026-05-05T00:03:02.017Z,7234.15,LONG,7233.5,7234.55,0.65,0.4,0.62,17,Phase1_Absorption,TIMEOUT
90,ESM6.CME@RITHMIC,2026-05-05T00:03:03.256Z,7234.35,SHORT,7235.0,7233.95,0.65,0.4,0.62,14,Phase1_Absorption,LOSS
91,NQM6.CME@RITHMIC,2026-05-05T00:03:05.115Z,27786.7,SHORT,27787.5,27785.9,0.8,0.8,1.0,15,Phase1_Absorption,WIN
92,NQM6.CME@RITHMIC,2026-05-05T00:03:06.149Z,27788.55,SHORT,27789.5,27787.35,0.95,1.2,1.26,25,Phase1_Absorption,TIMEOUT
93,NQM6.CME@RITHMIC,2026-05-05T00:03:07.183Z,27789.3,LONG,27788.5,27790.1,0.8,0.8,1.0,7,Phase1_Absorption,WIN
94,NQM6.CME@RITHMIC,2026-05-05T00:03:07.183Z,27788.72,LONG,27788.0,27789.32,0.72,0.6,0.83,11,Phase1_Absorption,WIN
95,NQM6.CME@RITHMIC,2026-05-05T00:03:07.183Z,27788.4,LONG,27787.75,27788.8,0.65,0.4,0.62,13,Phase1_Absorption,WIN
96,NQM6.CME@RITHMIC,2026-05-05T00:03:12.426Z,27783.47,LONG,27782.75,27784.07,0.72,0.6,0.83,23,Phase1_Absorption,WIN
97,NQM6.CME@RITHMIC,2026-05-05T00:03:15.569Z,27782.28,LONG,27781.25,27783.68,1.03,1.4,1.37,26,Phase1_Absorption,WIN
98,NQM6.CME@RITHMIC,2026-05-05T00:03:19.972Z,27783.7,SHORT,27784.5,27782.9,0.8,0.8,1.0,21,Phase1_Absorption,WIN
99,NQM6.CME@RITHMIC,2026-05-05T00:03:20.085Z,27784.1,SHORT,27784.75,27783.7,0.65,0.4,0.62,28,Phase1_Absorption,WIN
100,ESM6.CME@RITHMIC,2026-05-05T00:03:23.249Z,7234.15,LONG,7233.5,7234.55,0.65,0.4,0.62,23,Phase1_Absorption,WIN
101,ESM6.CME@RITHMIC,2026-05-05T00:03:25.357Z,7233.98,LONG,7233.25,7234.58,0.73,0.6,0.83,11,Phase1_Absorption,TIMEOUT
102,NQM6.CME@RITHMIC,2026-05-05T00:03:26.120Z,27780.53,LONG,27779.5,27781.93,1.03,1.4,1.37,22,Phase1_Absorption,WIN
103,NQM6.CME@RITHMIC,2026-05-05T00:03:28.677Z,27780.53,LONG,27779.5,27781.93,1.03,1.4,1.37,20,Phase1_Absorption,TIMEOUT
104,NQM6.CME@RITHMIC,2026-05-05T00:03:31.075Z,27780.72,LONG,27780.0,27781.32,0.72,0.6,0.83,6,Phase1_Absorption,TIMEOUT
105,ESM6.CME@RITHMIC,2026-05-05T00:03:33.142Z,7233.4,LONG,7232.75,7233.8,0.65,0.4,0.62,20,Phase1_Absorption,WIN
106,NQM6.CME@RITHMIC,2026-05-05T00:03:36.543Z,27782.62,SHORT,27783.5,27781.62,0.88,1.0,1.14,14,Phase1_Absorption,LOSS
107,NQM6.CME@RITHMIC,2026-05-05T00:03:36.544Z,27783.62,SHORT,27784.5,27782.62,0.88,1.0,1.14,7,Phase1_Absorption,WIN
108,NQM6.CME@RITHMIC,2026-05-05T00:03:36.545Z,27783.95,SHORT,27784.75,27783.15,0.8,0.8,1.0,6,Phase1_Absorption,WIN
109,NQM6.CME@RITHMIC,2026-05-05T00:03:38.492Z,27785.05,SHORT,27786.0,27783.85,0.95,1.2,1.26,30,Phase1_Absorption,WIN
110,ESM6.CME@RITHMIC,2026-05-05T00:03:43.468Z,7233.9,LONG,7233.25,7234.3,0.65,0.4,0.62,21,Phase1_Absorption,LOSS
111,ESM6.CME@RITHMIC,2026-05-05T00:03:47.841Z,7233.4,LONG,7232.75,7233.8,0.65,0.4,0.62,12,Phase1_Absorption,WIN
112,ESM6.CME@RITHMIC,2026-05-05T00:03:48.206Z,7233.4,LONG,7232.75,7233.8,0.65,0.4,0.62,21,Phase1_Absorption,LOSS
113,ESM6.CME@RITHMIC,2026-05-05T00:03:54.055Z,7233.6,SHORT,7234.25,7233.2,0.65,0.4,0.62,16,Phase1_Absorption,WIN
114,ESM6.CME@RITHMIC,2026-05-05T00:03:59.970Z,7233.6,SHORT,7234.25,7233.2,0.65,0.4,0.62,25,Phase1_Absorption,WIN
115,ESM6.CME@RITHMIC,2026-05-05T00:04:01.715Z,7233.15,LONG,7232.5,7233.55,0.65,0.4,0.62,10,Phase1_Absorption,LOSS
116,ESM6.CME@RITHMIC,2026-05-05T00:04:01.738Z,7232.65,LONG,7232.0,7233.05,0.65,0.4,0.62,24,Phase1_Absorption,LOSS
117,ESM6.CME@RITHMIC,2026-05-05T00:04:06.831Z,7232.6,SHORT,7233.25,7232.2,0.65,0.4,0.62,15,Phase1_Absorption,TIMEOUT
118,ESM6.CME@RITHMIC,2026-05-05T00:04:23.284Z,7232.85,SHORT,7233.5,7232.45,0.65,0.4,0.62,7,Phase1_Absorption,WIN
119,NQM6.CME@RITHMIC,2026-05-05T00:04:40.152Z,27778.6,SHORT,27779.25,27778.2,0.65,0.4,0.62,24,Phase1_Absorption,TIMEOUT
120,NQM6.CME@RITHMIC,2026-05-05T00:04:41.177Z,27779.97,SHORT,27781.0,27778.57,1.03,1.4,1.37,14,Phase1_Absorption,TIMEOUT
121,NQM6.CME@RITHMIC,2026-05-05T00:04:44.022Z,27780.88,SHORT,27781.75,27779.88,0.88,1.0,1.14,8,Phase1_Absorption,WIN
122,NQM6.CME@RITHMIC,2026-05-05T00:04:50.468Z,27783.3,SHORT,27784.25,27782.1,0.95,1.2,1.26,5,Phase1_Absorption,WIN
123,NQM6.CME@RITHMIC,2026-05-05T00:04:51.776Z,27783.8,SHORT,27784.75,27782.6,0.95,1.2,1.26,17,Phase1_Absorption,WIN
124,NQM6.CME@RITHMIC,2026-05-05T00:04:52.705Z,27784.05,SHORT,27785.0,27782.85,0.95,1.2,1.26,29,Phase1_Absorption,LOSS
125,NQM6.CME@RITHMIC,2026-05-05T00:04:53.447Z,27785.62,SHORT,27787.25,27782.62,1.62,3.0,1.85,15,Phase1_Absorption,WIN
126,ESM6.CME@RITHMIC,2026-05-05T00:05:03.141Z,7233.85,SHORT,7234.5,7233.45,0.65,0.4,0.62,8,Phase1_Absorption,WIN
127,ESM6.CME@RITHMIC,2026-05-05T00:05:42.199Z,7233.4,LONG,7232.75,7233.8,0.65,0.4,0.62,14,Phase1_Absorption,WIN
128,NQM6.CME@RITHMIC,2026-05-05T00:05:48.761Z,27786.55,SHORT,27787.5,27785.35,0.95,1.2,1.26,6,Phase1_Absorption,WIN
129,ESM6.CME@RITHMIC,2026-05-05T00:05:50.326Z,7233.85,SHORT,7234.5,7233.45,0.65,0.4,0.62,9,Phase1_Absorption,TIMEOUT
130,NQM6.CME@RITHMIC,2026-05-05T00:05:55.321Z,27789.05,SHORT,27790.0,27787.85,0.95,1.2,1.26,27,Phase1_Absorption,WIN
131,ESM6.CME@RITHMIC,2026-05-05T00:05:55.714Z,7233.9,LONG,7233.25,7234.3,0.65,0.4,0.62,13,Phase1_Absorption,LOSS
132,NQM6.CME@RITHMIC,2026-05-05T00:05:57.926Z,27789.25,SHORT,27790.5,27787.25,1.25,2.0,1.6,27,Phase1_Absorption,WIN
133,NQM6.CME@RITHMIC,2026-05-05T00:06:08.209Z,27790.22,SHORT,27791.25,27788.82,1.03,1.4,1.37,12,Phase1_Absorption,WIN
134,ESM6.CME@RITHMIC,2026-05-05T00:06:35.661Z,7233.35,SHORT,7234.0,7232.95,0.65,0.4,0.62,17,Phase1_Absorption,LOSS
135,ESM6.CME@RITHMIC,2026-05-05T00:06:46.388Z,7233.35,SHORT,7234.0,7232.95,0.65,0.4,0.62,5,Phase1_Absorption,TIMEOUT
136,ESM6.CME@RITHMIC,2026-05-05T00:07:04.761Z,7233.23,LONG,7232.5,7233.83,0.73,0.6,0.83,22,Phase1_Absorption,LOSS
137,NQM6.CME@RITHMIC,2026-05-05T00:07:56.592Z,27782.25,LONG,27781.0,27784.25,1.25,2.0,1.6,5,Phase1_Absorption,WIN
138,NQM6.CME@RITHMIC,2026-05-05T00:08:00.425Z,27781.7,LONG,27780.75,27782.9,0.95,1.2,1.26,26,Phase1_Absorption,WIN
139,ESM6.CME@RITHMIC,2026-05-05T00:08:23.394Z,7232.9,LONG,7232.25,7233.3,0.65,0.4,0.62,11,Phase1_Absorption,WIN
140,NQM6.CME@RITHMIC,2026-05-05T00:08:29.761Z,27786.88,SHORT,27787.75,27785.88,0.88,1.0,1.14,24,Phase1_Absorption,LOSS
141,NQM6.CME@RITHMIC,2026-05-05T00:09:05.463Z,27783.88,LONG,27783.0,27784.88,0.88,1.0,1.14,11,Phase1_Absorption,LOSS
142,NQM6.CME@RITHMIC,2026-05-05T00:09:12.335Z,27783.7,LONG,27782.75,27784.9,0.95,1.2,1.26,7,Phase1_Absorption,WIN
143,NQM6.CME@RITHMIC,2026-05-05T00:09:13.402Z,27783.53,LONG,27782.5,27784.93,1.03,1.4,1.37,9,Phase1_Absorption,TIMEOUT
144,NQM6.CME@RITHMIC,2026-05-05T00:10:02.706Z,27782.0,LONG,27780.75,27784.0,1.25,2.0,1.6,6,Phase1_Absorption,WIN
145,NQM6.CME@RITHMIC,2026-05-05T00:11:32.791Z,27786.28,LONG,27785.25,27787.68,1.03,1.4,1.37,9,Phase1_Absorption,LOSS
146,NQM6.CME@RITHMIC,2026-05-05T00:12:00.022Z,27785.92,LONG,27784.75,27787.72,1.17,1.8,1.53,6,Phase1_Absorption,WIN
147,NQM6.CME@RITHMIC,2026-05-05T00:12:00.024Z,27785.22,LONG,27784.5,27785.82,0.72,0.6,0.83,20,Phase1_Absorption,LOSS
148,ESM6.CME@RITHMIC,2026-05-05T00:12:00.028Z,7233.4,LONG,7232.75,7233.8,0.65,0.4,0.62,6,Phase1_Absorption,WIN
149,NQM6.CME@RITHMIC,2026-05-05T00:12:00.033Z,27784.72,LONG,27784.0,27785.32,0.72,0.6,0.83,22,Phase1_Absorption,WIN
150,NQM6.CME@RITHMIC,2026-05-05T00:12:22.602Z,27783.4,LONG,27782.0,27785.8,1.4,2.4,1.71,25,Phase1_Absorption,LOSS
151,NQM6.CME@RITHMIC,2026-05-05T00:12:23.233Z,27782.7,LONG,27781.75,27783.9,0.95,1.2,1.26,17,Phase1_Absorption,LOSS
152,NQM6.CME@RITHMIC,2026-05-05T00:12:23.234Z,27782.7,LONG,27781.75,27783.9,0.95,1.2,1.26,23,Phase1_Absorption,LOSS
153,NQM6.CME@RITHMIC,2026-05-05T00:12:25.773Z,27782.92,LONG,27781.75,27784.72,1.17,1.8,1.53,9,Phase1_Absorption,WIN
154,NQM6.CME@RITHMIC,2026-05-05T00:12:41.217Z,27781.38,LONG,27780.5,27782.38,0.88,1.0,1.14,16,Phase1_Absorption,WIN
155,NQM6.CME@RITHMIC,2026-05-05T00:12:44.111Z,27781.12,LONG,27780.25,27782.12,0.88,1.0,1.14,17,Phase1_Absorption,LOSS
156,ESM6.CME@RITHMIC,2026-05-05T00:12:47.118Z,7232.15,LONG,7231.5,7232.55,0.65,0.4,0.62,12,Phase1_Absorption,TIMEOUT
157,NQM6.CME@RITHMIC,2026-05-05T00:12:48.002Z,27778.62,LONG,27777.0,27781.62,1.62,3.0,1.85,19,Phase1_Absorption,WIN
158,NQM6.CME@RITHMIC,2026-05-05T00:12:48.144Z,27777.78,LONG,27776.75,27779.18,1.03,1.4,1.37,12,Phase1_Absorption,WIN
159,NQM6.CME@RITHMIC,2026-05-05T00:12:48.162Z,27777.45,LONG,27776.5,27778.65,0.95,1.2,1.26,25,Phase1_Absorption,WIN
160,NQM6.CME@RITHMIC,2026-05-05T00:12:49.154Z,27776.75,LONG,27775.5,27778.75,1.25,2.0,1.6,5,Phase1_Absorption,TIMEOUT
161,NQM6.CME@RITHMIC,2026-05-05T00:12:49.155Z,27775.95,LONG,27775.0,27777.15,0.95,1.2,1.26,14,Phase1_Absorption,TIMEOUT
162,NQM6.CME@RITHMIC,2026-05-05T00:12:49.155Z,27775.22,LONG,27774.5,27775.82,0.72,0.6,0.83,16,Phase1_Absorption,LOSS
163,NQM6.CME@RITHMIC,2026-05-05T00:12:49.451Z,27774.8,LONG,27774.0,27775.6,0.8,0.8,1.0,15,Phase1_Absorption,WIN
164,NQM6.CME@RITHMIC,2026-05-05T00:12:49.451Z,27774.3,LONG,27773.5,27775.1,0.8,0.8,1.0,24,Phase1_Absorption,TIMEOUT
165,NQM6.CME@RITHMIC,2026-05-05T00:12:49.666Z,27774.05,LONG,27773.25,27774.85,0.8,0.8,1.0,20,Phase1_Absorption,WIN
166,NQM6.CME@RITHMIC,2026-05-05T00:12:50.106Z,27774.12,LONG,27773.25,27775.12,0.88,1.0,1.14,5,Phase1_Absorption,TIMEOUT
167,ESM6.CME@RITHMIC,2026-05-05T00:12:53.079Z,7231.85,SHORT,7232.5,7231.45,0.65,0.4,0.62,17,Phase1_Absorption,WIN
